,SNR,BER_theo,BER_eigen,BER_eigen21,BER_Alamouti1,BER_Alamouti2,BER_Alamouti21,BER_Alamouti2_21
0,0.0,0.15729920705028516,0.0978385416666666,0.18348958333333318,0.09971354166666659,0.10289062499999986,0.18380208333333317,0.18302083333333322
1,1.0,0.1341303966592255,0.0742057291666666,0.15277343750000008,0.07484375000000004,0.07792968749999993,0.1534635416666665,0.15341145833333314
2,2.0,0.11256390395308294,0.054075520833333265,0.12393229166666664,0.05214843749999993,0.057513020833333324,0.12876302083333324,0.12446614583333318
3,3.0,0.09280255191214265,0.03524739583333331,0.10033854166666657,0.03420572916666667,0.03802083333333333,0.09963541666666664,0.09979166666666664
4,4.0,0.07501225671785196,0.020546874999999947,0.0761197916666666,0.02096354166666665,0.023984374999999974,0.07328125000000002,0.07459635416666664
5,5.0,0.05931057525207364,0.010885416666666663,0.053932291666666625,0.01096354166666667,0.013945312500000003,0.05270833333333331,0.05401041666666663
6,6.0,0.04575681512217064,0.0052213541666666675,0.03450520833333333,0.0048437500000000034,0.0071744791666666745,0.035039062499999996,0.03494791666666665
7,7.0,0.03434508335849198,0.0020442708333333354,0.021002604166666633,0.0017708333333333354,0.003151041666666664,0.020794270833333323,0.02091145833333332
8,8.0,0.0250016360814751,0.0007031249999999992,0.011510416666666658,0.0007291666666666659,0.0009505208333333321,0.011666666666666655,0.011197916666666662
9,9.0,0.017587621061121658,0.00013020833333333333,0.005247395833333337,0.00023437500000000002,0.0003645833333333332,0.005338541666666671,0.0052734375000000056
10,10.0,0.011907734295557325,1.3020833333333334e-05,0.002369791666666667,3.90625e-05,0.00010416666666666667,0.0019270833333333364,0.0021744791666666666
11,11.0,0.007724463285620265,0.0,0.0005468749999999995,0.0,2.604166666666667e-05,0.000611979166666666,0.0005859374999999995
12,12.0,0.004776581561865614,0.0,0.00016927083333333334,0.0,0.0,0.00016927083333333334,0.00014322916666666667
13,13.0,0.002799609678960466,0.0,2.604166666666667e-05,0.0,0.0,6.510416666666667e-05,3.90625e-05
14,14.0,0.0015453496307568891,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0007975926703183252,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,0.0003818155481519863,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,0.0001679990783580215,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,6.725445683923501e-05,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,2.421778655406737e-05,0.0,0.0,0.0,0.0,0.0,0.0
