,SNR,BER_theo,BER_eigen,BER_eigen21,BER_Alamouti1,BER_Alamouti2,BER_Alamouti21,BER_Alamouti2_21
0,0.0,0.1572992070502851,0.0978385416666666,0.1834895833333331,0.0997135416666665,0.1028906249999998,0.1838020833333331,0.1830208333333332
1,1.0,0.1341303966592255,0.0742057291666666,0.1527734375,0.07484375,0.0779296874999999,0.1534635416666665,0.1534114583333331
2,2.0,0.1125639039530829,0.0540755208333332,0.1239322916666666,0.0521484374999999,0.0575130208333333,0.1287630208333332,0.1244661458333331
3,3.0,0.0928025519121426,0.0352473958333333,0.1003385416666665,0.0342057291666666,0.0380208333333333,0.0996354166666666,0.0997916666666666
4,4.0,0.0750122567178519,0.0205468749999999,0.0761197916666666,0.0209635416666666,0.0239843749999999,0.07328125,0.0745963541666666
5,5.0,0.0593105752520736,0.0108854166666666,0.0539322916666666,0.0109635416666666,0.0139453125,0.0527083333333333,0.0540104166666666
6,6.0,0.0457568151221706,0.0052213541666666,0.0345052083333333,0.00484375,0.0071744791666666,0.0350390624999999,0.0349479166666666
7,7.0,0.0343450833584919,0.0020442708333333,0.0210026041666666,0.0017708333333333,0.0031510416666666,0.0207942708333333,0.0209114583333333
8,8.0,0.0250016360814751,0.0007031249999999,0.0115104166666666,0.0007291666666666,0.0009505208333333,0.0116666666666666,0.0111979166666666
9,9.0,0.0175876210611216,0.0001302083333333,0.0052473958333333,0.000234375,0.0003645833333333,0.0053385416666666,0.0052734375
10,10.0,0.0119077342955573,1.3020833333333334e-05,0.0023697916666666,3.90625e-05,0.0001041666666666,0.0019270833333333,0.0021744791666666
11,11.0,0.0077244632856202,0.0,0.0005468749999999,0.0,2.604166666666667e-05,0.0006119791666666,0.0005859374999999
12,12.0,0.0047765815618656,0.0,0.0001692708333333,0.0,0.0,0.0001692708333333,0.0001432291666666
13,13.0,0.0027996096789604,0.0,2.604166666666667e-05,0.0,0.0,6.510416666666667e-05,3.90625e-05
14,14.0,0.0015453496307568,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.0007975926703183,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,0.0003818155481519,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,0.000167999078358,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,6.725445683923501e-05,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,2.421778655406737e-05,0.0,0.0,0.0,0.0,0.0,0.0
