,SNR,BER_theo,BER_eigen,BER_eigen21,BER_Alamouti1,BER_Alamouti2,BER_Alamouti21,BER_Alamouti2_21
0,0.0,0.15729920705028516,0.0998567708333333,0.1833593749999998,0.09734374999999998,0.11079427083333322,0.18084635416666647,0.18611979166666662
1,1.0,0.1341303966592255,0.075078125,0.15011718749999997,0.07419270833333336,0.0860156249999999,0.15273437500000012,0.1608463541666667
2,2.0,0.11256390395308294,0.05205729166666664,0.12721354166666662,0.052838541666666655,0.06496093749999998,0.12738281249999997,0.13358072916666658
3,3.0,0.09280255191214265,0.03427083333333333,0.098203125,0.033619791666666655,0.04651041666666663,0.09871093750000001,0.10946614583333321
4,4.0,0.07501225671785196,0.019661458333333305,0.07276041666666663,0.021184895833333318,0.03156249999999999,0.07377604166666658,0.08433593749999999
5,5.0,0.05931057525207364,0.011132812499999992,0.051640624999999954,0.011263020833333337,0.01964843749999998,0.052721354166666616,0.06404947916666669
6,6.0,0.04575681512217064,0.005299479166666669,0.033333333333333326,0.005338541666666675,0.01170572916666666,0.033906249999999985,0.0461067708333333
7,7.0,0.03434508335849198,0.0020182291666666686,0.02055989583333332,0.0017578125000000018,0.0063671875000000065,0.020377604166666632,0.030494791666666656
8,8.0,0.0250016360814751,0.0005078124999999996,0.010937500000000001,0.0005598958333333329,0.0030468750000000005,0.011210937499999992,0.01829427083333331
9,9.0,0.017587621061121658,0.00013020833333333333,0.0050781250000000045,0.00015625,0.0016406250000000019,0.004804687500000003,0.011497395833333326
10,10.0,0.011907734295557325,3.90625e-05,0.0022135416666666688,0.0,0.0005859374999999994,0.0020312500000000014,0.005911458333333337
11,11.0,0.007724463285620265,0.0,0.0006380208333333328,0.0,0.0001953125,0.0007291666666666659,0.0030989583333333325
12,12.0,0.004776581561865614,0.0,0.00010416666666666667,0.0,5.208333333333334e-05,0.00014322916666666667,0.001249999999999999
13,13.0,0.002799609678960466,0.0,0.0,0.0,2.604166666666667e-05,3.90625e-05,0.00039062499999999975
14,14.0,0.0015453496307568891,0.0,0.0,0.0,1.3020833333333334e-05,0.0,0.00018229166666666667
15,15.0,0.0007975926703183252,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,0.0003818155481519863,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,0.0001679990783580215,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,6.725445683923501e-05,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,2.421778655406737e-05,0.0,0.0,0.0,0.0,0.0,0.0
