,SNR,BER_theo,BER_eigen,BER_eigen21,BER_Alamouti1,BER_Alamouti2,BER_Alamouti21,BER_Alamouti2_21
0,0.0,0.15729920705028516,0.09898437499999992,0.18058593750000004,0.09940104166666662,0.10962239583333319,0.18240885416666666,0.19917968749999992
1,1.0,0.1341303966592255,0.07338541666666669,0.15430989583333335,0.07239583333333338,0.08309895833333328,0.15311197916666663,0.17388020833333326
2,2.0,0.11256390395308294,0.0518489583333333,0.12302083333333329,0.05147135416666665,0.06374999999999996,0.1280468749999999,0.1483984375
3,3.0,0.09280255191214265,0.03524739583333331,0.09940104166666651,0.03361979166666666,0.044270833333333294,0.10076822916666663,0.12269531249999989
4,4.0,0.07501225671785196,0.020156249999999994,0.07391927083333338,0.02055989583333331,0.02886718749999998,0.07428385416666669,0.10062499999999988
5,5.0,0.05931057525207364,0.01136718749999999,0.053255208333333304,0.010403645833333338,0.016393229166666645,0.05191406249999997,0.08055989583333334
6,6.0,0.04575681512217064,0.005195312500000006,0.03575520833333331,0.005117187500000003,0.009427083333333338,0.03585937499999999,0.059570312499999944
7,7.0,0.03434508335849198,0.0024479166666666655,0.020807291666666655,0.002005208333333335,0.004309895833333336,0.020468749999999963,0.04463541666666665
8,8.0,0.0250016360814751,0.0006770833333333326,0.011015625000000003,0.0007161458333333327,0.002070312500000002,0.010716145833333334,0.031223958333333326
9,9.0,0.017587621061121658,0.00020833333333333335,0.005325520833333338,0.00010416666666666667,0.0008723958333333322,0.00483072916666667,0.020585937499999967
10,10.0,0.011907734295557325,1.3020833333333334e-05,0.0019661458333333354,0.0,0.00024739583333333335,0.0018880208333333362,0.012643229166666657
11,11.0,0.007724463285620265,1.3020833333333334e-05,0.0005859374999999994,0.0,6.510416666666667e-05,0.0006510416666666661,0.007669270833333342
12,12.0,0.004776581561865614,0.0,0.00013020833333333333,0.0,0.0,0.00018229166666666667,0.004531250000000002
13,13.0,0.002799609678960466,0.0,0.0,0.0,0.0,5.208333333333334e-05,0.0020312500000000014
14,14.0,0.0015453496307568891,0.0,0.0,0.0,0.0,0.0,0.0008593749999999991
15,15.0,0.0007975926703183252,0.0,0.0,0.0,0.0,0.0,0.0004036458333333331
16,16.0,0.0003818155481519863,0.0,0.0,0.0,0.0,0.0,6.510416666666667e-05
17,17.0,0.0001679990783580215,0.0,0.0,0.0,0.0,0.0,1.3020833333333334e-05
18,18.0,6.725445683923501e-05,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,2.421778655406737e-05,0.0,0.0,0.0,0.0,0.0,0.0
